Protein.Ids,Gene_Symbol,First.Protein.Description,log2FC,log2.protein.intensity,P_value,Adjusted_P_value,Condition
A2AN08,Ubr4,E3 ubiquitin-protein ligase UBR4,-0.001595431071,20.80533913,0.9883412018,0.9917095514,Not_sig
A2APV2,Fmnl2,Formin-like protein 2,0.4230723508,21.70352623,0.0003300946563,0.003439460397,Not_sig
A2AQ07,Tubb1,Tubulin beta-1 chain,-0.4896672626,26.45082729,0.003397456879,0.01661365103,Not_sig
A2AQ25,Skt,Sickle tail protein,0.5724144097,18.60560339,0.0264935814,0.07176636197,Not_sig
A2ASQ1,Agrn,Agrin,0.296059444,21.83381345,0.006395545005,0.02629447823,Not_sig
A2ASS6,Ttn,Titin,1.339311095,24.02834148,0.006976838164,0.02791824319,Up
A2AUC9,Klhl41,Kelch-like protein 41,1.531750757,21.42749862,0.002465671575,0.01299701254,Up
A2AWA9,Rabgap1,Rab GTPase-activating protein 1,-0.3651388029,18.51885761,0.08259960396,0.165026586,Not_sig
A2BDX3,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,-0.1372336558,18.12854061,0.567831855,0.6808996593,Not_sig
A3KMP2,Ttc38,Tetratricopeptide repeat protein 38,0.446699956,20.8642764,0.00887516033,0.03282264323,Not_sig
A6H584,Col6a5,Collagen alpha-5(VI) chain,1.156065336,19.59070396,0.004402181105,0.01994542719,Up
A6H5Y3,Mtr,Methionine synthase,0.3062771992,20.50959567,0.01311484161,0.04342597837,Not_sig
A6H5Z3,Exoc6b,Exocyst complex component 6B,0.209903245,19.1836458,0.2768262633,0.400978648,Not_sig
A6X8Z5,Arhgap31,Rho GTPase-activating protein 31,0.4697240875,18.89011266,0.02457385255,0.0679959567,Not_sig
A6X935,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",1.956590238,22.00444279,0.000005960635837,0.0002713508505,Up
B1AVD1,Xpnpep2,Xaa-Pro aminopeptidase 2,1.755934227,18.08408672,0.01546490015,0.04878634795,Up
B1AY13,Usp24,Ubiquitin carboxyl-terminal hydrolase 24,0.4147272551,18.08708048,0.1012851922,0.1916178561,Not_sig
B1AZA5,Tmem245,Transmembrane protein 245,-0.3997998911,18.58998154,0.1127802942,0.2080423759,Not_sig
B1AZP2,Dlgap4,Disks large-associated protein 4,-0.1996327332,19.09507816,0.5885955883,0.6981357102,Not_sig
B2RPU2,Plekhd1,Pleckstrin homology domain-containing family D member 1,0.5523744184,20.85003104,0.03837364388,0.09497787327,Not_sig
B2RQC6,Cad,CAD protein,-0.5512319158,20.09755433,0.0006125114437,0.00512525987,Not_sig
B2RR83,Ythdc2,3'-5' RNA helicase YTHDC2,0.04444724076,17.73899505,0.8800067123,0.9212005661,Not_sig
B2RSH2,Gnai1,Guanine nucleotide-binding protein G(i) subunit alpha-1,0.5781710558,22.86821093,0.002187232617,0.01199996776,Not_sig
B2RUJ5,Apba1,Amyloid-beta A4 precursor protein-binding family A member 1,-0.5713875265,19.85275036,0.02629991333,0.07135581807,Not_sig
B2RUR8,Otud7b,OTU domain-containing protein 7B,0.6499822891,19.33112897,0.0003490435561,0.003512480417,Up
B2RXC1,Trappc11,Trafficking protein particle complex subunit 11,0.66878409,19.13865156,0.01069830843,0.03736103328,Up
B2RXS4,Plxnb2,Plexin-B2,0.3169208406,19.92020207,0.02419786991,0.06738375615,Not_sig
B2RY04,Dock5,Dedicator of cytokinesis protein 5,0.3911992966,17.34961847,0.2334371289,0.3536701985,Not_sig
B2RY56,Rbm25,RNA-binding protein 25,-0.4662573883,22.32001284,0.008967897357,0.033069662,Not_sig
B9EJ80,Pdzd8,PDZ domain-containing protein 8,-0.4319509183,18.61369087,0.0443086109,0.105567681,Not_sig
B9EJ86,Osbpl8,Oxysterol-binding protein-related protein 8,-0.2905691154,20.02313908,0.04454191201,0.1058450322,Not_sig
D3YWQ0,Dgki,Diacylglycerol kinase iota,0.05773233819,21.01450983,0.7012008447,0.7900389011,Not_sig
D3YXJ0,Dgkh,Diacylglycerol kinase eta,0.05492188964,20.71314785,0.8246306137,0.8818197614,Not_sig
D3YXK2,Safb,Scaffold attachment factor B1,-0.4093311747,20.81370775,0.08641450083,0.1702468064,Not_sig
D3YZP9,Ccdc6,Coiled-coil domain-containing protein 6,-0.027641202,20.43574228,0.9107136193,0.9417438832,Not_sig
D3Z7P3,Gls,"Glutaminase kidney isoform, mitochondrial",-0.04274330667,22.12500023,0.6659809484,0.7652634107,Not_sig
D3Z7Q2,Smim20,Small integral membrane protein 20,-3.155755583,19.56818937,0.02051356216,0.06011023884,Not_sig
E9PV24,Fga,Fibrinogen alpha chain,0.7332631116,25.1893055,0.01041826548,0.03673756439,Up
E9PVA8,Gcn1,eIF-2-alpha kinase activator GCN1,-0.369497864,20.50461719,0.02938874616,0.07786806801,Not_sig
E9PXF8,Sbf2,Myotubularin-related protein 13,0.4333736968,20.82788254,0.001913539787,0.0110201448,Not_sig
E9PYK3,Parp4,Protein mono-ADP-ribosyltransferase PARP4,-0.149782506,18.68847521,0.429592338,0.5563024384,Not_sig
E9PZQ0,Ryr1,Ryanodine receptor 1,1.97666703,21.0244482,0.004290178409,0.01957713871,Up
E9Q137,Tex264,Testis-expressed protein 264 homolog,-0.3082144029,19.57890682,0.1105903028,0.2050908429,Not_sig
E9Q3L2,Pi4ka,Phosphatidylinositol 4-kinase alpha,-0.1374124957,19.80081875,0.2636013609,0.3860634255,Not_sig
E9Q414,Apob,Apolipoprotein B-100,1.909740974,20.19703465,0.000005661314202,0.0002608297049,Up
E9Q4Z2,Acacb,Acetyl-CoA carboxylase 2,0.568713369,16.06441228,0.43660043,0.5606313111,Not_sig
E9Q555,Rnf213,E3 ubiquitin-protein ligase RNF213,-0.2087456229,17.22283327,0.6239856896,0.7294776145,Not_sig
E9Q634,Myo1e,Unconventional myosin-Ie,0.131519346,20.37396364,0.1946971709,0.3095725495,Not_sig
E9Q6P5,Ttc7b,Tetratricopeptide repeat protein 7B,0.02746916063,16.46999143,0.9611165035,0.9746246379,Not_sig
E9Q735,Ube4a,Ubiquitin conjugation factor E4 A,0.1851062049,19.92764833,0.07767238803,0.1585793977,Not_sig
E9Q7G0,Numa1,Nuclear mitotic apparatus protein 1,-0.3324324873,20.69829322,0.006678512935,0.02705363714,Not_sig
E9Q7T7,Chadl,Chondroadherin-like protein,-1.630222047,17.28344008,0.0266929066,0.07218788886,Not_sig
E9Q8I9,Fry,Protein furry homolog,0.3397553424,18.41867229,0.1246433362,0.2240884427,Not_sig
F6W8I0,Yjefn3,YjeF N-terminal domain-containing protein 3,-0.1077470616,20.38211894,0.7747435587,0.8467045923,Not_sig
F6ZDS4,Tpr,Nucleoprotein TPR,-0.0514984815,20.81813054,0.6667527127,0.7658943747,Not_sig
F7BWT7,Tspan15,Tetraspanin-15,0.5947431696,21.72399736,0.00009192050484,0.00155532748,Up
G3X9K3,Arfgef1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,0.1437585555,18.7851691,0.4062551994,0.5325745227,Not_sig
G5E829,Atp2b1,Plasma membrane calcium-transporting ATPase 1,0.2037492787,22.25119605,0.09424874577,0.1819038387,Not_sig
G5E897,Poglut3,Protein O-glucosyltransferase 3,-0.1660530656,19.09432281,0.2460185248,0.3677774976,Not_sig
G5E8K5,Ank3,Ankyrin-3,0.1428412962,22.19371063,0.1163519178,0.2120732764,Not_sig
O08528,Hk2,Hexokinase-2,1.235407494,20.29409255,0.007081561557,0.02812034413,Up
O08529,Capn2,Calpain-2 catalytic subunit,0.0001421821104,24.24069466,0.998955003,0.9992163044,Not_sig
O08532,Cacna2d1,Voltage-dependent calcium channel subunit alpha-2/delta-1,0.9662054266,21.69902485,0.000348943499,0.003512480417,Up
O08539,Bin1,Myc box-dependent-interacting protein 1,0.857221419,24.43521775,0.0002198263581,0.002774310209,Up
O08547,Sec22b,Vesicle-trafficking protein SEC22b,-0.6893894351,22.8279739,0.002350082863,0.01256883478,Down
O08553,Dpysl2,Dihydropyrimidinase-related protein 2,-0.2230351959,26.42962458,0.1998806929,0.3153233373,Not_sig
O08573,Lgals9,Galectin-9,-0.2738559074,20.17445948,0.08374951094,0.1664543294,Not_sig
O08576,Rundc3a,RUN domain-containing protein 3A,-0.09537252509,19.33562686,0.4723266937,0.5945283992,Not_sig
O08579,Emd,Emerin,-0.3443307211,19.59245154,0.2000857044,0.3155165912,Not_sig
O08582,Gtpbp1,GTP-binding protein 1,-1.009466197,19.95029094,0.002576354895,0.01344062909,Down
O08583,Alyref,THO complex subunit 4,-1.031365617,20.34762031,0.0008001252764,0.006025029443,Down
O08586,Pten,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",0.5694434589,19.97691628,0.007930549677,0.03041767499,Not_sig
O08599,Stxbp1,Syntaxin-binding protein 1,0.2027815482,24.07006741,0.1053984776,0.1976101635,Not_sig
O08600,Endog,"Endonuclease G, mitochondrial",-0.09392637431,20.36167853,0.7737421381,0.8465779502,Not_sig
O08638,Myh11,Myosin-11,-0.6282841618,20.36826173,0.0691348565,0.1459146071,Not_sig
O08648,Map3k4,Mitogen-activated protein kinase kinase kinase 4,-1.770534082,17.8145661,0.06498460307,0.1391383663,Not_sig
O08663,Metap2,Methionine aminopeptidase 2,-0.2697922236,21.31541066,0.01093503875,0.03791077805,Not_sig
O08677,Kng1,Kininogen-1,0.7718451128,24.97871456,0.0002773813571,0.003152784048,Up
O08688,Capn5,Calpain-5,0.5640723306,20.13269571,0.0004910028109,0.004428289502,Not_sig
O08692,Ngp,Neutrophilic granule protein,-8.935922055,20.88291999,0.00000005085835774,0.000008455754782,Down
O08709,Prdx6,Peroxiredoxin-6,-0.004615558139,25.52806311,0.9554276485,0.9722073783,Not_sig
O08739,Ampd3,AMP deaminase 3,0.0570292201,19.80005115,0.666003303,0.7652634107,Not_sig
O08746,Matn2,Matrilin-2,-0.9425793996,21.36842378,0.000001916097554,0.0001263302939,Down
O08749,Dld,"Dihydrolipoyl dehydrogenase, mitochondrial",-0.06491562098,24.72429154,0.5439978307,0.6599465636,Not_sig
O08756,Hsd17b10,3-hydroxyacyl-CoA dehydrogenase type-2,-0.167445669,23.02916753,0.1284426586,0.2298384307,Not_sig
O08759,Ube3a,Ubiquitin-protein ligase E3A,0.2058448162,20.30458943,0.2096787831,0.3271365429,Not_sig
O08788,Dctn1,Dynactin subunit 1,0.009245931203,22.35256106,0.9138395098,0.9429363965,Not_sig
O08795,Prkcsh,Glucosidase 2 subunit beta,-0.3025078122,22.90113729,0.01612515976,0.05017299507,Not_sig
O08807,Prdx4,Peroxiredoxin-4,-0.4332080488,21.88912658,0.004135788398,0.01917000586,Not_sig
O08808,Diaph1,Protein diaphanous homolog 1,0.2975470977,18.28267004,0.2528823033,0.3748147007,Not_sig
O08810,Eftud2,116 kDa U5 small nuclear ribonucleoprotein component,-0.4266039425,21.24920594,0.004497752585,0.02021211415,Not_sig
O08848,RO60,60 kDa SS-A/Ro ribonucleoprotein,-0.4505931191,19.94844194,0.02548378863,0.0696569033,Not_sig
O08911,Mapk12,Mitogen-activated protein kinase 12,2.143660083,18.8857184,0.00009893896794,0.001637846811,Up
O08914,Faah,Fatty-acid amide hydrolase 1,-1.04379769,20.07040271,0.00004437530467,0.0009533211521,Down
O08915,Aip,AH receptor-interacting protein,-0.4487386209,21.05646462,0.01687729474,0.05211523419,Not_sig
O08917,Flot1,Flotillin-1,0.1445490093,22.28210606,0.08150532046,0.1636955596,Not_sig
O08919,Numbl,Numb-like protein,-0.07806665473,19.74300368,0.7266067718,0.8095991537,Not_sig
O08992,Sdcbp,Syntenin-1,0.4803687827,22.26124129,0.0004447721288,0.004114370055,Not_sig
O08997,Atox1,Copper transport protein ATOX1,0.02822624247,22.52113558,0.8707213155,0.9149871697,Not_sig
O09005,Degs1,Sphingolipid delta(4)-desaturase DES1,-0.6301623909,19.7308319,0.0004961220547,0.004453452434,Down
O09044,Snap23,Synaptosomal-associated protein 23,-0.5324676919,19.76306571,0.0003134323337,0.00334587946,Not_sig
O09061,Psmb1,Proteasome subunit beta type-1,-0.02471811442,23.32412716,0.7316755999,0.8124063572,Not_sig
O09106,Hdac1,Histone deacetylase 1,-0.3865028153,18.5090325,0.1191282791,0.2157965605,Not_sig
O09111,Ndufb11,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",0.3831032974,21.52646297,0.05935296699,0.1302903248,Not_sig
O09131,Gsto1,Glutathione S-transferase omega-1,0.5969521986,22.17357703,0.0008547026792,0.006321824072,Up
O09159,Man2b1,Lysosomal alpha-mannosidase,-0.6012397081,18.74666757,0.04283253096,0.1027863728,Not_sig
O09161,Casq2,Calsequestrin-2,0.8154215137,19.90336364,0.1790571199,0.2924880078,Not_sig
O09164,Sod3,Extracellular superoxide dismutase [Cu-Zn],0.3779996582,19.24892479,0.1461829562,0.2519169106,Not_sig
O09165,Casq1,Calsequestrin-1,1.279307497,26.28249384,0.0004279754177,0.004002239649,Up
O09167,Rpl21,60S ribosomal protein L21,0.1539407041,20.38174849,0.6135107836,0.720978868,Not_sig
O09172,Gclm,Glutamate--cysteine ligase regulatory subunit,-0.0334914144,22.23285465,0.7932026449,0.8596018255,Not_sig
O09174,Amacr,Alpha-methylacyl-CoA racemase,0.3503305956,17.9779377,0.2950352262,0.4199534592,Not_sig
O35066,Kif3c,Kinesin-like protein KIF3C,-0.658672275,18.30038317,0.01084503271,0.03770127735,Down
O35074,Ptgis,Prostacyclin synthase,0.3888645365,19.25771759,0.07588457728,0.1560121632,Not_sig
O35075,Vps26c,Vacuolar protein sorting-associated protein 26C,-0.02685978813,19.34144267,0.8367357538,0.8905308996,Not_sig
O35083,Agpat1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,-0.2722217991,21.17334339,0.100370138,0.1908038337,Not_sig
O35098,Dpysl4,Dihydropyrimidinase-related protein 4,-0.006260035978,21.08249405,0.9583442673,0.9733621456,Not_sig
O35114,Scarb2,Lysosome membrane protein 2,0.1767515388,21.35435875,0.09531575409,0.1837118268,Not_sig
O35127,Grcc10,Protein C10,-0.03406376772,20.9910414,0.8091794486,0.8718800258,Not_sig
O35129,Phb2,Prohibitin-2,-0.2166010485,23.37651521,0.03308996449,0.08480966771,Not_sig
O35136,Ncam2,Neural cell adhesion molecule 2,0.07074470529,19.93060076,0.6510664021,0.7523958663,Not_sig
O35153,Bet1l,BET1-like protein,-1.366241739,18.34809714,0.06130421942,0.1331973495,Not_sig
O35206,Col15a1,Collagen alpha-1(XV) chain,-0.1498696286,25.30883332,0.1996645287,0.3151925067,Not_sig
O35215,Ddt,D-dopachrome decarboxylase,0.2802581025,23.6040381,0.01702216057,0.05237526857,Not_sig
O35226,Psmd4,26S proteasome non-ATPase regulatory subunit 4,-0.3561705186,21.44222563,0.003209341172,0.01585596982,Not_sig
O35250,Exoc7,Exocyst complex component 7,-0.3022461105,20.41234663,0.03867441826,0.09529057695,Not_sig
O35286,Dhx15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,-0.2577041412,20.94489473,0.03185970023,0.08265365922,Not_sig
O35326,Srsf5,Serine/arginine-rich splicing factor 5,-0.07336886879,20.45611435,0.7843770784,0.8530881535,Not_sig
O35343,Kpna4,Importin subunit alpha-3,0.1976736906,19.74318871,0.225072416,0.3445388318,Not_sig
O35344,Kpna3,Importin subunit alpha-4,0.1832195194,20.55262331,0.1554802222,0.2642472754,Not_sig
O35345,Kpna6,Importin subunit alpha-7,-0.327393794,20.27468134,0.0101617231,0.03601337267,Not_sig
O35350,Capn1,Calpain-1 catalytic subunit,0.2715090979,23.26398747,0.03564898378,0.08962637342,Not_sig
O35379,Abcc1,Multidrug resistance-associated protein 1,1.811893844,16.72601213,0.04362139331,0.1040600175,Not_sig
O35381,Anp32a,Acidic leucine-rich nuclear phosphoprotein 32 family member A,-0.3901473956,21.87186417,0.0170672212,0.05242173001,Not_sig
O35382,Exoc4,Exocyst complex component 4,-0.007768974792,20.27856023,0.9335373759,0.9565506231,Not_sig
O35405,Pld3,5'-3' exonuclease PLD3,-0.187764601,21.81707577,0.1506557354,0.2582283874,Not_sig
O35409,Folh1,Glutamate carboxypeptidase 2,0.489360177,19.87091347,0.005855285397,0.02460506743,Not_sig
O35454,Clcn6,Chloride transport protein 6,-0.4435809704,18.71017955,0.01187212247,0.04006972315,Not_sig
O35459,Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",-0.03145316871,21.84633017,0.8235832911,0.8811926427,Not_sig
O35465,Fkbp8,Peptidyl-prolyl cis-trans isomerase FKBP8,-1.162252208,21.54850669,0.00561443067,0.02374730223,Down
O35490,Bhmt,Betaine--homocysteine S-methyltransferase 1,6.268798209,17.90317398,0.000007809677579,0.0003246109463,Up
O35516,Notch2,Neurogenic locus notch homolog protein 2,0.1008330521,18.00155185,0.6865227839,0.7794724245,Not_sig
O35526,Stx1a,Syntaxin-1A,0.6555256145,18.98937694,0.06344862243,0.1366146014,Not_sig
O35551,Rabep1,Rab GTPase-binding effector protein 1,0.03783116752,19.83929155,0.7709290435,0.8450317891,Not_sig
O35593,Psmd14,26S proteasome non-ATPase regulatory subunit 14,-0.2705527529,22.32311765,0.03078977246,0.08046003964,Not_sig
O35598,Adam10,Disintegrin and metalloproteinase domain-containing protein 10,0.1853235167,23.61718053,0.05915033259,0.1299947539,Not_sig
O35604,Npc1,NPC intracellular cholesterol transporter 1,0.05201408861,19.82712163,0.6515948068,0.7527790155,Not_sig
O35609,Scamp3,Secretory carrier-associated membrane protein 3,-0.8258555209,19.69750574,0.07173266481,0.1498938307,Not_sig
O35621,Pmm1,Phosphomannomutase 1,0.6997278923,20.76349722,0.001932514388,0.01108796228,Up
O35639,Anxa3,Annexin A3,0.195791357,23.58421081,0.1418933024,0.2464064467,Not_sig
O35643,Ap1b1,AP-1 complex subunit beta-1,-0.1261825391,21.69182286,0.2353812212,0.3561922397,Not_sig
O35658,C1qbp,"Complement component 1 Q subcomponent-binding protein, mitochondrial",0.1496395958,22.66418371,0.1989333269,0.3143911424,Not_sig
O35678,Mgll,Monoglyceride lipase,-0.5546658628,20.86747591,0.01549935094,0.04878634795,Not_sig
O35682,Myadm,Myeloid-associated differentiation marker,0.3044201092,21.06782997,0.03933875247,0.09640241028,Not_sig
O35685,Nudc,Nuclear migration protein nudC,-0.4333142933,22.52544971,0.007324549718,0.02869782594,Not_sig
O35701,Matn3,Matrilin-3,0.07686093911,20.41505013,0.7062866999,0.7938978073,Not_sig
O35704,Sptlc1,Serine palmitoyltransferase 1,-2.17584289,18.03445833,0.001382542564,0.008724162978,Down
O35737,Hnrnph1,Heterogeneous nuclear ribonucleoprotein H,-0.710319693,23.23523427,0.0003112876984,0.00334587946,Down
O35744,Chil3,Chitinase-like protein 3,0.2314492352,25.03440183,0.6456241163,0.7485950942,Not_sig
O35841,Api5,Apoptosis inhibitor 5,-0.6662004038,21.0696667,0.0003394146387,0.003512480417,Down
O35855,Bcat2,"Branched-chain-amino-acid aminotransferase, mitochondrial",0.1932707584,21.80402334,0.1544037947,0.263236786,Not_sig
O35857,Timm44,Mitochondrial import inner membrane translocase subunit TIM44,0.07020326663,20.45328095,0.633440035,0.7384983823,Not_sig
O35864,Cops5,COP9 signalosome complex subunit 5,0.201449266,21.14529971,0.07517664127,0.154889804,Not_sig
O35874,Slc1a4,Neutral amino acid transporter A,-0.03658475177,19.37944872,0.8192423851,0.8777760943,Not_sig
O35887,Calu,Calumenin,-0.7221161042,22.79588261,0.0005045544706,0.004497473882,Down
O35945,Aldh1a7,"Aldehyde dehydrogenase, cytosolic 1",1.242534746,17.93679614,0.3613239667,0.4894448631,Not_sig
O35954,Pitpnm1,Membrane-associated phosphatidylinositol transfer protein 1,0.1990214378,18.56413271,0.4139580603,0.5409064773,Not_sig
O35955,Psmb10,Proteasome subunit beta type-10,-0.5269276037,18.9135814,0.06571596131,0.1402331674,Not_sig
O35969,Gamt,Guanidinoacetate N-methyltransferase,-0.5259437969,21.533757,0.004921443935,0.02155739016,Not_sig
O54692,Zw10,Centromere/kinetochore protein zw10 homolog,0.4361920737,18.27366663,0.1629811886,0.2726334493,Not_sig
O54724,Cavin1,Caveolae-associated protein 1,0.08559145412,24.700051,0.5295074087,0.6463715476,Not_sig
O54734,Ddost,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,-0.705770749,23.06427111,0.0007967837651,0.006025029443,Down
O54754,Aox1,Aldehyde oxidase 1,0.5236955108,18.67891125,0.06461250494,0.1384967595,Not_sig
O54774,Ap3d1,AP-3 complex subunit delta-1,-0.1457830603,21.13009082,0.1675837602,0.2780822574,Not_sig
O54781,Srpk2,SRSF protein kinase 2,-0.03704601679,19.12812885,0.8421090346,0.8947554732,Not_sig
O54782,Man2b2,Epididymis-specific alpha-mannosidase,-0.6588250824,17.48093412,0.2144619233,0.332429021,Not_sig
O54786,Dffa,DNA fragmentation factor subunit alpha,0.4248167232,21.53674521,0.1185310084,0.2148163868,Not_sig
O54829,Rgs7,Regulator of G-protein signaling 7,0.2472160015,18.60648729,0.3038401282,0.4300091229,Not_sig
O54833,Csnk2a2,Casein kinase II subunit alpha',-0.05198850269,19.25002998,0.8142649004,0.8746485897,Not_sig
O54879,Hmgb3,High mobility group protein B3,-1.458821675,19.97380202,0.0004483950963,0.004131717707,Down
O54890,Itgb3,Integrin beta-3,-1.053407791,19.97950453,0.0001016790845,0.001662815257,Down
O54931,Akap2,A-kinase anchor protein 2,-0.269166763,19.93750599,0.2784324727,0.4023906938,Not_sig
O54941,Smarce1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,-0.5863451356,20.06676641,0.001683551374,0.01017045886,Down
O54946,Dnajb6,DnaJ homolog subfamily B member 6,0.08590971621,20.09608034,0.4461503414,0.570213538,Not_sig
O54950,Prkag1,5'-AMP-activated protein kinase subunit gamma-1,1.183877579,18.01597044,0.002332590844,0.01249275545,Up
O54962,Banf1,Barrier-to-autointegration factor,-0.4265782948,21.66720336,0.07251676637,0.1511194085,Not_sig
O54983,Crym,Ketimine reductase mu-crystallin,0.1753956686,19.64410503,0.2586393047,0.3812662658,Not_sig
O54984,Get3,ATPase GET3,0.03435652173,22.50904828,0.6658232882,0.7652634107,Not_sig
O54988,Slk,STE20-like serine/threonine-protein kinase,0.1669082767,20.74857606,0.1633445084,0.2731217316,Not_sig
O54991,Cntnap1,Contactin-associated protein 1,0.6937979767,21.83850411,0.00001009375822,0.0003914515834,Up
O54998,Fkbp7,Peptidyl-prolyl cis-trans isomerase FKBP7,-2.062710879,18.17280053,0.002581452421,0.01344887474,Down
O55013,Trappc3,Trafficking protein particle complex subunit 3,0.1271275896,21.64775042,0.1474811589,0.253582712,Not_sig
O55022,Pgrmc1,Membrane-associated progesterone receptor component 1,-0.1080371342,22.42282019,0.5389161476,0.6548507621,Not_sig
O55023,Impa1,Inositol monophosphatase 1,0.1318847612,24.62089866,0.390884584,0.5195375409,Not_sig
O55026,Entpd2,Ectonucleoside triphosphate diphosphohydrolase 2,0.3300223963,24.33981909,0.009504471277,0.03438514491,Not_sig
O55029,Copb2,Coatomer subunit beta',-0.3291254416,22.25367806,0.002061508025,0.01150833093,Not_sig
O55033,Nck2,Cytoplasmic protein NCK2,-0.4941629473,19.69213227,0.05818285662,0.1282686547,Not_sig
O55042,Snca,Alpha-synuclein,-0.6145997108,22.16928262,0.002677711555,0.01385597968,Down
O55057,Pde6d,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",0.04162432844,20.80035124,0.7513061858,0.8281910794,Not_sig
O55091,Impact,Protein IMPACT,0.474459043,19.98111158,0.0295457866,0.07802852238,Not_sig
O55098,Stk10,Serine/threonine-protein kinase 10,-0.3308539727,20.58178218,0.007994973406,0.03054223607,Not_sig
O55102,Bloc1s1,Biogenesis of lysosome-related organelles complex 1 subunit 1,-0.3508212518,19.67422928,0.08977636887,0.1756034959,Not_sig
O55103,Prx,Periaxin,0.1575220793,30.10987091,0.3264991138,0.4533524369,Not_sig
O55106,Strn,Striatin,-0.6370750483,20.98950291,0.001304841536,0.008357979953,Down
O55125,Nipsnap1,Protein NipSnap homolog 1,0.08686772615,21.82258975,0.4709757274,0.5932863672,Not_sig
O55126,Nipsnap2,Protein NipSnap homolog 2,0.4188584687,22.72210849,0.02129432414,0.06192357073,Not_sig
O55131,Septin7,Septin-7,-0.09948092039,24.02177472,0.2425150918,0.3639629948,Not_sig
O55135,Eif6,Eukaryotic translation initiation factor 6,-0.04029162999,21.31083931,0.6842531274,0.7778192507,Not_sig
O55137,Acot1,Acyl-coenzyme A thioesterase 1,0.8535026597,18.03327934,0.00732209641,0.02869782594,Up
O55142,Rpl35a,60S ribosomal protein L35a,-0.07659866805,21.26074533,0.5353626225,0.6517754437,Not_sig
O55143,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,-0.1984644176,23.2436238,0.1166936371,0.2125947919,Not_sig
O55186,Cd59a,CD59A glycoprotein,0.8724113298,24.05960388,0.00002016987617,0.0006270699712,Up
O55201,Supt5h,Transcription elongation factor SPT5,-0.6638998437,18.87392814,0.001636328361,0.009900822235,Down
O55222,Ilk,Integrin-linked protein kinase,-0.03137678243,22.68698149,0.7271612067,0.8099809072,Not_sig
O55226,Chad,Chondroadherin,1.132412866,21.45602579,0.0002493109089,0.002960760607,Up
O55229,Chkb,Choline/ethanolamine kinase,0.4409558724,19.1384989,0.02210493036,0.06360365214,Not_sig
